,feature_num,val_ba
0,9,0.8637556635618843
1,14,0.8699055415481244
2,19,0.8814347782429918
3,24,0.8797072941465147
4,29,0.8824845185515041
5,34,0.8826440809868072
6,39,0.8831049016446938
7,44,0.8847319042232119
8,49,0.8845990239311012
9,54,0.8866534123921518
10,59,0.8862919217195782
11,64,0.8902724047331031
12,69,0.8879018878275021
13,74,0.8896415512559546
14,79,0.8884547661083912
15,84,0.8906088157324031
16,89,0.8908372466997629
17,94,0.8902500812836015
18,99,0.8905943163802812
19,104,0.8899630920332878
20,109,0.8908095207399104
21,114,0.892045842484869
22,119,0.8920605623944118
23,124,0.8884003119498128
24,129,0.8887828631499282
25,134,0.8911792112909247
26,139,0.891430981661655
27,144,0.8899510531913049
28,149,0.890374005223934
29,154,0.8899888432012553
30,159,0.8914814770970662
31,164,0.8886684771662084
32,169,0.8904613318312794
33,174,0.8909791075331148
34,179,0.8896273476174658
35,184,0.8896039818034251
36,189,0.8902154949756014
37,194,0.8904450434637123
38,199,0.891423113729949
39,204,0.8911935652418379
